,FGEOID,GEOID,NAME,NAMELSAD,GEOID_FILE,Memory Usage (GB)
46,0500000US42053,42053,Forest,Forest County,0500000US42053.graphml,0.056364672000000005
47,0500000US22105,22105,Tangipahoa,Tangipahoa Parish,0500000US22105.graphml,0.274214528
48,0500000US51179,51179,Stafford,Stafford County,0500000US51179.graphml,0.30697024000000006
49,0500000US26109,26109,Menominee,Menominee County,0500000US26109.graphml,0.10555763199999998
50,0500000US18073,18073,Jasper,Jasper County,0500000US18073.graphml,0.10616383999999998
51,0500000US13025,13025,Brantley,Brantley County,0500000US13025.graphml,0.14856972800000004
52,0500000US13171,13171,Lamar,Lamar County,0500000US13171.graphml,0.10424281600000004
53,0500000US18151,18151,Steuben,Steuben County,0500000US18151.graphml,0.10994035199999999
54,0500000US48361,48361,Orange,Orange County,0500000US48361.graphml,0.340840064
55,0500000US39047,39047,Fayette,Fayette County,0500000US39047.graphml,0.068005504
56,0500000US25015,25015,Hampshire,Hampshire County,0500000US25015.graphml,0.40983308799999996
57,0500000US21003,21003,Allen,Allen County,0500000US21003.graphml,0.08835033600000003
58,0500000US37001,37001,Alamance,Alamance County,0500000US37001.graphml,0.25012185600000003
59,0500000US20073,20073,Greenwood,Greenwood County,0500000US20073.graphml,0.06936537600000003
60,0500000US25025,25025,Suffolk,Suffolk County,0500000US25025.graphml,1.1900760320000001
61,0500000US16051,16051,Jefferson,Jefferson County,0500000US16051.graphml,0.10117491199999998
62,0500000US48177,48177,Gonzales,Gonzales County,0500000US48177.graphml,0.11921779200000002
63,0500000US47115,47115,Marion,Marion County,0500000US47115.graphml,0.22181440000000005
64,0500000US26007,26007,Alpena,Alpena County,0500000US26007.graphml,0.06931622399999998
65,0500000US21231,21231,Wayne,Wayne County,0500000US21231.graphml,0.0977056
66,0500000US47185,47185,White,White County,0500000US47185.graphml,0.10472204800000004
67,0500000US48147,48147,Fannin,Fannin County,0500000US48147.graphml,0.132927104
68,0500000US20043,20043,Doniphan,Doniphan County,0500000US20043.graphml,0.167489152
69,0500000US48265,48265,Kerr,Kerr County,0500000US48265.graphml,0.154697344
70,0500000US12053,12053,Hernando,Hernando County,0500000US12053.graphml,0.33526540799999993
71,0500000US12129,12129,Wakulla,Wakulla County,0500000US12129.graphml,0.07577152000000001
72,0500000US12131,12131,Walton,Walton County,0500000US12131.graphml,0.26914777600000006
73,0500000US28017,28017,Chickasaw,Chickasaw County,0500000US28017.graphml,0.06905817600000003
74,0500000US26035,26035,Clare,Clare County,0500000US26035.graphml,0.09824217600000001
75,0500000US20157,20157,Republic,Republic County,0500000US20157.graphml,0.08073177600000003
76,0500000US12127,12127,Volusia,Volusia County,0500000US12127.graphml,0.664071808
77,0500000US40017,40017,Canadian,Canadian County,0500000US40017.graphml,0.4631015679999999
78,0500000US13115,13115,Floyd,Floyd County,0500000US13115.graphml,0.1994912
79,0500000US32001,32001,Churchill,Churchill County,0500000US32001.graphml,0.053415552000000005
80,0500000US31181,31181,Webster,Webster County,0500000US31181.graphml,0.047541888000000004
81,0500000US17067,17067,Hancock,Hancock County,0500000US17067.graphml,0.142753408
82,0500000US46067,46067,Hutchinson,Hutchinson County,0500000US46067.graphml,0.065322624
83,0500000US41013,41013,Crook,Crook County,0500000US41013.graphml,0.088665728
84,0500000US50011,50011,Franklin,Franklin County,0500000US50011.graphml,0.11664959999999999
85,0500000US26103,26103,Marquette,Marquette County,0500000US26103.graphml,0.108322432
86,0500000US09007,9007,Middlesex,Middlesex County,0500000US09007.graphml,0.41945049599999995
87,0500000US37057,37057,Davidson,Davidson County,0500000US37057.graphml,0.5961888000000001
88,0500000US17025,17025,Clay,Clay County,0500000US17025.graphml,0.10000345600000002
89,0500000US29103,29103,Knox,Knox County,0500000US29103.graphml,0.042401408
90,0500000US29117,29117,Livingston,Livingston County,0500000US29117.graphml,0.07667264000000001
91,0500000US42117,42117,Tioga,Tioga County,0500000US42117.graphml,0.106806912
92,0500000US31043,31043,Dakota,Dakota County,0500000US31043.graphml,0.147992192
93,0500000US26089,26089,Leelanau,Leelanau County,0500000US26089.graphml,0.10178931199999999
94,0500000US51181,51181,Surry,Surry County,0500000US51181.graphml,0.114351744
95,0500000US48391,48391,Refugio,Refugio County,0500000US48391.graphml,0.050495103999999985
96,0500000US39017,39017,Butler,Butler County,0500000US39017.graphml,0.55756352
97,0500000US13273,13273,Terrell,Terrell County,0500000US13273.graphml,0.05726579200000001
98,0500000US13063,13063,Clayton,Clayton County,0500000US13063.graphml,0.573808256
99,0500000US56013,56013,Fremont,Fremont County,0500000US56013.graphml,0.08977574399999999
100,0500000US18115,18115,Ohio,Ohio County,0500000US18115.graphml,0.04017728000000001
101,0500000US13073,13073,Columbia,Columbia County,0500000US13073.graphml,0.285122176
102,0500000US08115,8115,Sedgwick,Sedgwick County,0500000US08115.graphml,0.031829632
103,0500000US30065,30065,Musselshell,Musselshell County,0500000US30065.graphml,0.04525632000000002
104,0500000US42043,42043,Dauphin,Dauphin County,0500000US42043.graphml,0.520285824
105,0500000US46101,46101,Moody,Moody County,0500000US46101.graphml,0.06385216000000002
106,0500000US54079,54079,Putnam,Putnam County,0500000US54079.graphml,0.17094617600000003
107,0500000US34037,34037,Sussex,Sussex County,0500000US34037.graphml,0.41512512
108,0500000US20039,20039,Decatur,Decatur County,0500000US20039.graphml,0.05169523200000001
109,0500000US18123,18123,Perry,Perry County,0500000US18123.graphml,0.08524556800000002
110,0500000US28145,28145,Union,Union County,0500000US28145.graphml,0.09766054399999999
111,0500000US31015,31015,Boyd,Boyd County,0500000US31015.graphml,0.030285439999999997
112,0500000US27095,27095,Mille Lacs,Mille Lacs County,0500000US27095.graphml,0.10086361600000002
113,0500000US38099,38099,Walsh,Walsh County,0500000US38099.graphml,0.06411430399999998
114,0500000US39115,39115,Morgan,Morgan County,0500000US39115.graphml,0.10529548800000002
115,0500000US39133,39133,Portage,Portage County,0500000US39133.graphml,0.470941312
116,0500000US56041,56041,Uinta,Uinta County,0500000US56041.graphml,0.03348032000000001
117,0500000US32013,32013,Humboldt,Humboldt County,0500000US32013.graphml,0.038575743999999995
118,0500000US48247,48247,Jim Hogg,Jim Hogg County,0500000US48247.graphml,0.07768025600000003
119,0500000US08017,8017,Cheyenne,Cheyenne County,0500000US08017.graphml,0.029867648000000024
120,0500000US41005,41005,Clackamas,Clackamas County,0500000US41005.graphml,1.0081153280000001
121,0500000US05113,5113,Polk,Polk County,0500000US05113.graphml,0.10470976000000001
122,0500000US13193,13193,Macon,Macon County,0500000US13193.graphml,0.08292723199999999
123,0500000US18007,18007,Benton,Benton County,0500000US18007.graphml,0.061406848000000014
124,0500000US47129,47129,Morgan,Morgan County,0500000US47129.graphml,0.150347392
125,0500000US46043,46043,Douglas,Douglas County,0500000US46043.graphml,0.030735999999999986
126,0500000US24047,24047,Worcester,Worcester County,0500000US24047.graphml,0.21644044799999998
127,0500000US17185,17185,Wabash,Wabash County,0500000US17185.graphml,0.12124531200000002
128,0500000US18069,18069,Huntington,Huntington County,0500000US18069.graphml,0.148676224
129,0500000US21209,21209,Scott,Scott County,0500000US21209.graphml,0.12996569600000005
130,0500000US19053,19053,Decatur,Decatur County,0500000US19053.graphml,0.05740915199999999
131,0500000US18169,18169,Wabash,Wabash County,0500000US18169.graphml,0.16225856000000002
132,0500000US18003,18003,Allen,Allen County,0500000US18003.graphml,0.375594624
133,0500000US18099,18099,Marshall,Marshall County,0500000US18099.graphml,0.132755072
134,0500000US31171,31171,Thomas,Thomas County,0500000US31171.graphml,0.010153600000000013
135,0500000US38085,38085,Sioux,Sioux County,0500000US38085.graphml,0.015871616000000005
136,0500000US48127,48127,Dimmit,Dimmit County,0500000US48127.graphml,0.11302463999999998
137,0500000US27045,27045,Fillmore,Fillmore County,0500000US27045.graphml,0.09836096
138,0500000US45023,45023,Chester,Chester County,0500000US45023.graphml,0.141209216
139,0500000US27073,27073,Lac qui Parle,Lac qui Parle County,0500000US27073.graphml,0.081030784
140,0500000US49005,49005,Cache,Cache County,0500000US49005.graphml,0.17673792000000002
141,0500000US55093,55093,Pierce,Pierce County,0500000US55093.graphml,0.16727206399999997
142,0500000US13049,13049,Charlton,Charlton County,0500000US13049.graphml,0.08764991999999999
143,0500000US13233,13233,Polk,Polk County,0500000US13233.graphml,0.13117811199999999
144,0500000US17113,17113,McLean,McLean County,0500000US17113.graphml,0.26332326399999995
145,0500000US23001,23001,Androscoggin,Androscoggin County,0500000US23001.graphml,0.222772864
146,0500000US16055,16055,Kootenai,Kootenai County,0500000US16055.graphml,0.267288192
147,0500000US32003,32003,Clark,Clark County,0500000US32003.graphml,1.421741696
148,0500000US20147,20147,Phillips,Phillips County,0500000US20147.graphml,0.08619584
149,0500000US31089,31089,Holt,Holt County,0500000US31089.graphml,0.074768
150,0500000US29101,29101,Johnson,Johnson County,0500000US29101.graphml,0.16737036800000002
151,0500000US55063,55063,La Crosse,La Crosse County,0500000US55063.graphml,0.19499788799999998
152,0500000US22021,22021,Caldwell,Caldwell Parish,0500000US22021.graphml,0.07840524800000001
153,0500000US21061,21061,Edmonson,Edmonson County,0500000US21061.graphml,0.07325248000000001
154,0500000US17005,17005,Bond,Bond County,0500000US17005.graphml,0.095198848
155,0500000US17009,17009,Brown,Brown County,0500000US17009.graphml,0.087248512
156,0500000US27085,27085,McLeod,McLeod County,0500000US27085.graphml,0.12350220800000003
157,0500000US55033,55033,Dunn,Dunn County,0500000US55033.graphml,0.14025484800000002
158,0500000US08027,8027,Custer,Custer County,0500000US08027.graphml,0.02659494399999998
159,0500000US29123,29123,Madison,Madison County,0500000US29123.graphml,0.054677119999999996
160,0500000US48353,48353,Nolan,Nolan County,0500000US48353.graphml,0.11356940800000001
161,0500000US42127,42127,Wayne,Wayne County,0500000US42127.graphml,0.22833113600000002
162,0500000US36091,36091,Saratoga,Saratoga County,0500000US36091.graphml,0.548294272
163,0500000US48041,48041,Brazos,Brazos County,0500000US48041.graphml,0.21334387200000002
164,0500000US40095,40095,Marshall,Marshall County,0500000US40095.graphml,0.12305984
165,0500000US24001,24001,Allegany,Allegany County,0500000US24001.graphml,0.168476288
166,0500000US54103,54103,Wetzel,Wetzel County,0500000US54103.graphml,0.060714623999999995
167,0500000US55053,55053,Jackson,Jackson County,0500000US55053.graphml,0.131710592
168,0500000US41007,41007,Clatsop,Clatsop County,0500000US41007.graphml,0.08605657600000002
169,0500000US53041,53041,Lewis,Lewis County,0500000US53041.graphml,0.25157184
170,0500000US36003,36003,Allegany,Allegany County,0500000US36003.graphml,0.16148441600000005
171,0500000US19031,19031,Cedar,Cedar County,0500000US19031.graphml,0.08914496
172,0500000US18117,18117,Orange,Orange County,0500000US18117.graphml,0.09503910399999999
173,0500000US13089,13089,DeKalb,DeKalb County,0500000US13089.graphml,1.20968768
174,0500000US13227,13227,Pickens,Pickens County,0500000US13227.graphml,0.120475264
175,0500000US30015,30015,Chouteau,Chouteau County,0500000US30015.graphml,0.051084928
176,0500000US31017,31017,Brown,Brown County,0500000US31017.graphml,0.019095168000000023
177,0500000US47013,47013,Campbell,Campbell County,0500000US47013.graphml,0.12385446399999997
178,0500000US37069,37069,Franklin,Franklin County,0500000US37069.graphml,0.24325696
179,0500000US24510,24510,Baltimore,Baltimore city,0500000US24510.graphml,0.774585984
180,0500000US20111,20111,Lyon,Lyon County,0500000US20111.graphml,0.10728204799999999
181,0500000US19027,19027,Carroll,Carroll County,0500000US19027.graphml,0.08357440000000002
182,0500000US22107,22107,Tensas,Tensas Parish,0500000US22107.graphml,0.07763929600000002
183,0500000US47123,47123,Monroe,Monroe County,0500000US47123.graphml,0.161894016
184,0500000US20075,20075,Hamilton,Hamilton County,0500000US20075.graphml,0.027459200000000017
185,0500000US19151,19151,Pocahontas,Pocahontas County,0500000US19151.graphml,0.066449024
186,0500000US16045,16045,Gem,Gem County,0500000US16045.graphml,0.10141248
187,0500000US05063,5063,Independence,Independence County,0500000US05063.graphml,0.127364736
188,0500000US05085,5085,Lonoke,Lonoke County,0500000US05085.graphml,0.22067161600000004
189,0500000US18111,18111,Newton,Newton County,0500000US18111.graphml,0.08341465600000003
190,0500000US13119,13119,Franklin,Franklin County,0500000US13119.graphml,0.15031462399999998
191,0500000US12051,12051,Hendry,Hendry County,0500000US12051.graphml,0.20512319999999998
192,0500000US13265,13265,Taliaferro,Taliaferro County,0500000US13265.graphml,0.042589824
193,0500000US48245,48245,Jefferson,Jefferson County,0500000US48245.graphml,0.337624704
194,0500000US30059,30059,Meagher,Meagher County,0500000US30059.graphml,0.023015040000000014
195,0500000US08067,8067,La Plata,La Plata County,0500000US08067.graphml,0.11151731200000001
196,0500000US48027,48027,Bell,Bell County,0500000US48027.graphml,0.39698393600000004
197,0500000US28069,28069,Kemper,Kemper County,0500000US28069.graphml,0.07163456000000001
198,0500000US05019,5019,Clark,Clark County,0500000US05019.graphml,0.11099302399999997
199,0500000US41035,41035,Klamath,Klamath County,0500000US41035.graphml,0.16167692800000003
200,0500000US36075,36075,Oswego,Oswego County,0500000US36075.graphml,0.22562368000000002
201,0500000US01019,1019,Cherokee,Cherokee County,0500000US01019.graphml,0.165437056
202,0500000US48019,48019,Bandera,Bandera County,0500000US48019.graphml,0.11730495999999999
203,0500000US30087,30087,Rosebud,Rosebud County,0500000US30087.graphml,0.03219008000000001
204,0500000US35059,35059,Union,Union County,0500000US35059.graphml,0.11472038399999998
205,0500000US26153,26153,Schoolcraft,Schoolcraft County,0500000US26153.graphml,0.04126681600000001
206,0500000US36111,36111,Ulster,Ulster County,0500000US36111.graphml,0.518430336
207,0500000US34007,34007,Camden,Camden County,0500000US34007.graphml,1.074675328
208,0500000US17083,17083,Jersey,Jersey County,0500000US17083.graphml,0.12328921600000001
209,0500000US51085,51085,Hanover,Hanover County,0500000US51085.graphml,0.5386031359999999
210,0500000US20199,20199,Wallace,Wallace County,0500000US20199.graphml,0.029191808000000014
211,0500000US26003,26003,Alger,Alger County,0500000US26003.graphml,0.041565824
212,0500000US05049,5049,Fulton,Fulton County,0500000US05049.graphml,0.12435008
213,0500000US48215,48215,Hidalgo,Hidalgo County,0500000US48215.graphml,0.954257024
214,0500000US37155,37155,Robeson,Robeson County,0500000US37155.graphml,0.3202740479999999
215,0500000US26123,26123,Newaygo,Newaygo County,0500000US26123.graphml,0.177766016
216,0500000US41049,41049,Morrow,Morrow County,0500000US41049.graphml,0.05151910399999998
217,0500000US27153,27153,Todd,Todd County,0500000US27153.graphml,0.11368409600000004
218,0500000US05083,5083,Logan,Logan County,0500000US05083.graphml,0.135687808
219,0500000US37109,37109,Lincoln,Lincoln County,0500000US37109.graphml,0.34977753600000006
220,0500000US05091,5091,Miller,Miller County,0500000US05091.graphml,0.17546816
221,0500000US12095,12095,Orange,Orange County,0500000US12095.graphml,1.3333664
222,0500000US08111,8111,San Juan,San Juan County,0500000US08111.graphml,0.010149504000000004
223,0500000US16041,16041,Franklin,Franklin County,0500000US16041.graphml,0.08374233600000003
224,0500000US13045,13045,Carroll,Carroll County,0500000US13045.graphml,0.25226815999999996
225,0500000US20161,20161,Riley,Riley County,0500000US20161.graphml,0.18336934400000002
226,0500000US48413,48413,Schleicher,Schleicher County,0500000US48413.graphml,0.059457151999999985
227,0500000US51167,51167,Russell,Russell County,0500000US51167.graphml,0.11270924800000001
228,0500000US37027,37027,Caldwell,Caldwell County,0500000US37027.graphml,0.332697216
229,0500000US16065,16065,Madison,Madison County,0500000US16065.graphml,0.09268390399999998
230,0500000US18173,18173,Warrick,Warrick County,0500000US18173.graphml,0.24060684799999996
231,0500000US21001,21001,Adair,Adair County,0500000US21001.graphml,0.10732300800000003
232,0500000US21077,21077,Gallatin,Gallatin County,0500000US21077.graphml,0.04758694399999999
233,0500000US21097,21097,Harrison,Harrison County,0500000US21097.graphml,0.06652275199999999
234,0500000US23023,23023,Sagadahoc,Sagadahoc County,0500000US23023.graphml,0.16309004800000002
235,0500000US30097,30097,Sweet Grass,Sweet Grass County,0500000US30097.graphml,0.017297024000000022
236,0500000US48181,48181,Grayson,Grayson County,0500000US48181.graphml,0.27323558400000003
237,0500000US42059,42059,Greene,Greene County,0500000US42059.graphml,0.22063884799999997
238,0500000US20051,20051,Ellis,Ellis County,0500000US20051.graphml,0.11370457600000003
239,0500000US01065,1065,Hale,Hale County,0500000US01065.graphml,0.11676428800000002
240,0500000US01105,1105,Perry,Perry County,0500000US01105.graphml,0.098844288
241,0500000US01033,1033,Colbert,Colbert County,0500000US01033.graphml,0.26398681600000007
242,0500000US20151,20151,Pratt,Pratt County,0500000US20151.graphml,0.06280768
243,0500000US21017,21017,Bourbon,Bourbon County,0500000US21017.graphml,0.117464704
244,0500000US47149,47149,Rutherford,Rutherford County,0500000US47149.graphml,0.39497689599999997
245,0500000US13075,13075,Cook,Cook County,0500000US13075.graphml,0.08888281600000003
246,0500000US20101,20101,Lane,Lane County,0500000US20101.graphml,0.03803916800000001
247,0500000US40059,40059,Harper,Harper County,0500000US40059.graphml,0.058990208000000016
248,0500000US17147,17147,Piatt,Piatt County,0500000US17147.graphml,0.10077350399999999
249,0500000US48107,48107,Crosby,Crosby County,0500000US48107.graphml,0.08819468800000002
250,0500000US01063,1063,Greene,Greene County,0500000US01063.graphml,0.105844352
251,0500000US16033,16033,Clark,Clark County,0500000US16033.graphml,0.079425152
252,0500000US19109,19109,Kossuth,Kossuth County,0500000US19109.graphml,0.09072601600000002
253,0500000US38013,38013,Burke,Burke County,0500000US38013.graphml,0.03342297600000002
254,0500000US37063,37063,Durham,Durham County,0500000US37063.graphml,0.6156693759999999
255,0500000US19085,19085,Harrison,Harrison County,0500000US19085.graphml,0.10081446399999996
256,0500000US31103,31103,Keya Paha,Keya Paha County,0500000US31103.graphml,0.01673996800000002
257,0500000US19187,19187,Webster,Webster County,0500000US19187.graphml,0.11957004800000001
258,0500000US17151,17151,Pope,Pope County,0500000US17151.graphml,0.039988863999999985
259,0500000US47159,47159,Smith,Smith County,0500000US47159.graphml,0.07679552
260,0500000US51089,51089,Henry,Henry County,0500000US51089.graphml,0.14988044800000003
261,0500000US51510,51510,Alexandria,Alexandria city,0500000US51510.graphml,0.588729984
262,0500000US19101,19101,Jefferson,Jefferson County,0500000US19101.graphml,0.067956352
263,0500000US30049,30049,Lewis and Clark,Lewis and Clark County,0500000US30049.graphml,0.13694118399999997
264,0500000US49013,49013,Duchesne,Duchesne County,0500000US49013.graphml,0.06060812800000001
265,0500000US40003,40003,Alfalfa,Alfalfa County,0500000US40003.graphml,0.11754252800000001
266,0500000US48119,48119,Delta,Delta County,0500000US48119.graphml,0.07310912
267,0500000US47169,47169,Trousdale,Trousdale County,0500000US47169.graphml,0.05110131200000001
268,0500000US21193,21193,Perry,Perry County,0500000US21193.graphml,0.10487769600000005
269,0500000US46039,46039,Deuel,Deuel County,0500000US46039.graphml,0.05263731199999999
270,0500000US41029,41029,Jackson,Jackson County,0500000US41029.graphml,0.23582681600000002
271,0500000US48507,48507,Zavala,Zavala County,0500000US48507.graphml,0.114372224
272,0500000US31007,31007,Banner,Banner County,0500000US31007.graphml,0.02084416
273,0500000US19121,19121,Madison,Madison County,0500000US19121.graphml,0.12869184000000003
274,0500000US12011,12011,Broward,Broward County,0500000US12011.graphml,1.22521152
275,0500000US13279,13279,Toombs,Toombs County,0500000US13279.graphml,0.095829632
276,0500000US26151,26151,Sanilac,Sanilac County,0500000US26151.graphml,0.10284198399999997
277,0500000US48397,48397,Rockwall,Rockwall County,0500000US48397.graphml,0.39879846399999996
278,0500000US26163,26163,Wayne,Wayne County,0500000US26163.graphml,1.9000643840000002
279,0500000US27105,27105,Nobles,Nobles County,0500000US27105.graphml,0.07945792000000002
280,0500000US27001,27001,Aitkin,Aitkin County,0500000US27001.graphml,0.07300672
281,0500000US38071,38071,Ramsey,Ramsey County,0500000US38071.graphml,0.05034764800000002
282,0500000US37145,37145,Person,Person County,0500000US37145.graphml,0.09398643200000001
283,0500000US20195,20195,Trego,Trego County,0500000US20195.graphml,0.06727641600000003
284,0500000US28151,28151,Washington,Washington County,0500000US28151.graphml,0.11748928
285,0500000US48133,48133,Eastland,Eastland County,0500000US48133.graphml,0.11978713600000004
286,0500000US28055,28055,Issaquena,Issaquena County,0500000US28055.graphml,0.03599936000000001
287,0500000US48123,48123,DeWitt,DeWitt County,0500000US48123.graphml,0.131612288
288,0500000US48005,48005,Angelina,Angelina County,0500000US48005.graphml,0.129896064
289,0500000US45081,45081,Saluda,Saluda County,0500000US45081.graphml,0.12631615999999998
290,0500000US29125,29125,Maries,Maries County,0500000US29125.graphml,0.09604672
291,0500000US05001,5001,Arkansas,Arkansas County,0500000US05001.graphml,0.09526438399999998
292,0500000US29109,29109,Lawrence,Lawrence County,0500000US29109.graphml,0.146730624
293,0500000US51540,51540,Charlottesville,Charlottesville city,0500000US51540.graphml,0.10910067199999998
294,0500000US17011,17011,Bureau,Bureau County,0500000US17011.graphml,0.17013107200000002
295,0500000US39145,39145,Scioto,Scioto County,0500000US39145.graphml,0.19814771200000006
296,0500000US37115,37115,Madison,Madison County,0500000US37115.graphml,0.11934476800000002
297,0500000US16053,16053,Jerome,Jerome County,0500000US16053.graphml,0.214531712
298,0500000US39163,39163,Vinton,Vinton County,0500000US39163.graphml,0.08501209600000001
299,0500000US48309,48309,McLennan,McLennan County,0500000US48309.graphml,0.3140440320000001
300,0500000US16037,16037,Custer,Custer County,0500000US16037.graphml,0.04874611200000001
301,0500000US19089,19089,Howard,Howard County,0500000US19089.graphml,0.054324864
302,0500000US12099,12099,Palm Beach,Palm Beach County,0500000US12099.graphml,1.01252672
303,0500000US13181,13181,Lincoln,Lincoln County,0500000US13181.graphml,0.07568550399999999
304,0500000US01013,1013,Butler,Butler County,0500000US01013.graphml,0.079732352
305,0500000US47165,47165,Sumner,Sumner County,0500000US47165.graphml,0.35722406399999995
306,0500000US51097,51097,King and Queen,King and Queen County,0500000US51097.graphml,0.207769216
307,0500000US05015,5015,Carroll,Carroll County,0500000US05015.graphml,0.15202675200000001
308,0500000US51820,51820,Waynesboro,Waynesboro city,0500000US51820.graphml,0.06015756800000002
309,0500000US41051,41051,Multnomah,Multnomah County,0500000US41051.graphml,1.3603795200000002
310,0500000US47061,47061,Grundy,Grundy County,0500000US47061.graphml,0.07933504
311,0500000US27057,27057,Hubbard,Hubbard County,0500000US27057.graphml,0.11010419200000002
312,0500000US38081,38081,Sargent,Sargent County,0500000US38081.graphml,0.04333529600000002
313,0500000US36089,36089,St. Lawrence,St. Lawrence County,0500000US36089.graphml,0.249028224
314,0500000US29179,29179,Reynolds,Reynolds County,0500000US29179.graphml,0.07279782399999998
315,0500000US06067,6067,Sacramento,Sacramento County,0500000US06067.graphml,1.3250924800000001
316,0500000US39125,39125,Paulding,Paulding County,0500000US39125.graphml,0.11041958399999999
317,0500000US18179,18179,Wells,Wells County,0500000US18179.graphml,0.103108224
318,0500000US51063,51063,Floyd,Floyd County,0500000US51063.graphml,0.068968064
319,0500000US06083,6083,Santa Barbara,Santa Barbara County,0500000US06083.graphml,0.31499430399999995
320,0500000US54005,54005,Boone,Boone County,0500000US54005.graphml,0.09334745600000002
321,0500000US28009,28009,Benton,Benton County,0500000US28009.graphml,0.068820608
322,0500000US21055,21055,Crittenden,Crittenden County,0500000US21055.graphml,0.07727065600000002
323,0500000US19147,19147,Palo Alto,Palo Alto County,0500000US19147.graphml,0.06686272000000001
324,0500000US19159,19159,Ringgold,Ringgold County,0500000US19159.graphml,0.05654489600000001
325,0500000US37151,37151,Randolph,Randolph County,0500000US37151.graphml,0.3520467199999999
326,0500000US24015,24015,Cecil,Cecil County,0500000US24015.graphml,0.34541939200000005
327,0500000US18171,18171,Warren,Warren County,0500000US18171.graphml,0.10253068800000001
328,0500000US31077,31077,Greeley,Greeley County,0500000US31077.graphml,0.03321408000000001
